"TIME_PERIOD","BETA0","BETA1","BETA2","BETA3","TAU1","TAU2"
"2015-03-25",0.949569773744426,-0.934697881580266,-1.50132669690082,-2.97339872040028,0.305952962667913,2.02799528217267
"2015-03-26",0.983974516103768,-0.973974516118545,-1.42361420236659,-3.15428837576553,0.317554827254611,2.01672541546354
"2015-03-27",0.979728823689565,-0.969728823687119,-1.45752152839238,-3.09046914268567,0.331588842574669,2.06880086033458
"2015-03-30",0.93864723041656,-0.928647230410246,-1.44992731308338,-3.02403932897827,0.308390510573887,2.04975517759816
"2015-03-31",0.913411366635325,-0.903411366641579,-1.41002191964121,-2.99089117107393,0.305326981598262,2.02059292048974
"2015-04-01",0.876325971429858,-0.86632597143359,-1.53502951843417,-2.99585347741433,0.264342394015055,2.00495709969315
"2015-04-02",0.92132322632271,-0.911323226333681,-1.54660661677626,-3.05256135233969,0.28132964671427,2.01470623382347
"2015-04-07",1.00074635346936,-0.990746353462587,-1.57892500594419,-3.23647389804262,0.309006139259464,2.1241937298751
"2015-04-08",0.993006147590548,-0.982994041165016,-1.58205877362322,-3.2431332413407,0.325733865276322,2.12631471429484
"2015-04-09",0.988927577913109,-0.978927577924683,-1.67154413088305,-3.31762682471251,0.288961758997065,2.14982253014241
"2015-04-10",0.984834590528068,-0.974834590512068,-1.73166242627689,-3.27716644233756,0.289043517324602,2.1671348749248
"2015-04-13",0.946212520676302,-0.936212520683572,-1.63862130901897,-3.20499891169892,0.280663085461896,2.13042396635168
"2015-04-14",0.923843578331606,-0.913843578338036,-1.64955210556692,-3.09222417889137,0.294352299915504,2.19155891625016
"2015-04-15",0.858407982602599,-0.824126995214209,-1.68294054847629,-2.89919520953651,0.296139355769741,2.25178437182307
"2015-04-16",0.789888940659754,-0.77988894066938,-1.66211008723944,-2.6869467943088,0.293674583025105,2.24488180541886
"2015-04-17",0.772666424088847,-0.762666424089719,-1.65749455887907,-2.64997902904,0.291235042905861,2.28459381946499
"2015-04-20",0.745882182146471,-0.735882182139069,-1.51260052983339,-2.48398750253798,0.324230305380854,2.34149262008932
"2015-04-21",0.817213344412737,-0.802688187957415,-1.601022513307,-2.679177252034,0.324375955423497,2.31628455539457
"2015-04-22",0.848855484984118,-0.838855484988202,-1.60842038975095,-2.69331045495271,0.326479019702982,2.25845566881857
"2015-04-23",0.942291005860286,-1.22429100585477,3.56980423965383,-5.46114185769617,1.99459338941093,2.2714486617162
"2015-04-24",0.958022134212343,-1.23202213418354,3.55191220981452,-5.47975972161268,1.9912715110405,2.28121589258406
"2015-04-27",0.983489513410871,-1.28148951341059,3.54985888942529,-5.48219253460389,1.98042258908296,2.29902703256468
"2015-04-28",0.995210231548869,-1.30121023152112,3.51838362299235,-5.51547018709116,1.97893783438678,2.3158887108356
"2015-04-29",1.15158889229396,-1.45358889229354,3.4680164708158,-5.52833780775173,2.0663937000862,2.37708896931236
"2015-04-30",1.2643905372291,-1.55039053722073,3.44428848403996,-5.52487440648047,2.13716948296233,2.39111801277241
"2015-05-04",1.38498238960374,-1.69498238959985,3.39974606479377,-5.55445404572787,2.16563721989082,2.42497983171874
"2015-05-05",1.39741570498433,-1.70741570498733,3.44513203028264,-5.49598022287442,2.20119831313277,2.36000247426262
"2015-05-06",1.56293704015436,-1.8719370401532,3.07245681012222,-5.83861614243459,1.67318656800054,2.01405817799614
"2015-05-07",1.55543050667333,-1.86743050668208,3.02903022572995,-5.8826833250895,1.52422402867878,1.87856809210579
"2015-05-08",1.54437798399462,-1.84055465777203,2.99457688953272,-5.92037780245951,1.52711513632031,1.91199870495585
"2015-05-11",1.63953712476385,-1.9275371247651,2.91200239485879,-5.99920617436992,1.54925998551531,1.95621003510104
"2015-05-12",1.81497136907949,-2.10997136907742,2.69788466798866,-6.14845077036802,1.42444805041461,1.88407158614681
"2015-05-13",1.79250013735614,-2.07650013736271,2.71855398695954,-6.1285913194651,1.46642508186014,1.93737695504449
"2015-05-14",1.9281041455443,-2.2181041455331,2.60332674019171,-6.23730527689844,1.47805972655979,1.98973292355862
